operator_id,operator_name,operator_kind,kernel_name,source_category,source_library
21,sglang.srt.model_executor.forward_batch_info.compute_position_kernel,custom,compute_position_kernel,third_party,sglang
22,sglang.srt.layers.attention.utils.create_flashinfer_kv_indices_triton,custom,create_flashinfer_kv_indices_triton,third_party,flashinfer
23,sgl_kernel::silu_and_mul,custom,flashinfer::activation::act_and_mul_kernel,vendor,cuda
24,sglang.srt.layers.attention.fla.fused_gdn_gating.fused_gdn_gating_kernel,custom,fused_gdn_gating_kernel,third_party,sglang
25,sglang.srt.layers.attention.fla.fused_recurrent.fused_recurrent_gated_delta_rule_packed_decode_kernel,custom,fused_recurrent_gated_delta_rule_packed_decode_kernel,vendor,cuda
26,sglang.srt.layers.attention.triton_backend.get_num_kv_splits_triton,custom,get_num_kv_splits_triton,third_party,sglang
27,gemma_rms_norm,custom,kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel,vendor,cuda
28,gemma_rms_norm,custom,kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel,vendor,cuda
29,ChunkGatedDeltaRuleFunction,custom,l2norm_fwd_kernel,vendor,cuda
30,ChunkGatedDeltaRuleFunction,custom,recompute_w_u_fwd_kernel,vendor,cuda
31,sglang.srt.mem_cache.common.write_req_to_token_pool_triton,custom,write_req_to_token_pool_triton,third_party,sglang
32,aten::_index_put_impl_,aten,at::native::index_elementwise_kernel,torch_aten,pytorch
33,aten::_unique2,aten,at_cuda_detail::cub::detail::radix_sort::DeviceRadixSortSingleTileKernel,torch_aten,pytorch
33,aten::_unique2,aten,at_cuda_detail::cub::detail::scan::DeviceCompactInitKernel,torch_aten,pytorch
33,aten::_unique2,aten,at_cuda_detail::cub::detail::select::DeviceSelectSweepKernel,torch_aten,pytorch
34,aten::add,aten,at::native::elementwise_kernel,torch_aten,pytorch
34,aten::add,aten,at::native::unrolled_elementwise_kernel,torch_aten,pytorch
34,aten::add,aten,at::native::vectorized_elementwise_kernel,torch_aten,pytorch
35,aten::arange,aten,<anonymous>::elementwise_kernel_with_index,torch_aten,pytorch
36,aten::argmax,aten,at::native::reduce_kernel,torch_aten,pytorch
37,aten::cat,aten,at::native::<anonymous>::CatArrayBatchedCopy,torch_aten,pytorch
37,aten::cat,aten,at::native::<anonymous>::CatArrayBatchedCopy_contig,torch_aten,pytorch
37,aten::cat,aten,at::native::<anonymous>::CatArrayBatchedCopy_vectorized,torch_aten,pytorch
37,aten::cat,aten,at::native::unrolled_elementwise_kernel,torch_aten,pytorch
38,aten::copy_,aten,at::native::elementwise_kernel,torch_aten,pytorch
38,aten::copy_,aten,at::native::unrolled_elementwise_kernel,torch_aten,pytorch
39,aten::cumsum,aten,at_cuda_detail::cub::detail::scan::DeviceScanInitKernel,torch_aten,pytorch
39,aten::cumsum,aten,at_cuda_detail::cub::detail::scan::DeviceScanKernel,torch_aten,pytorch
40,aten::fill_,aten,at::native::vectorized_elementwise_kernel,torch_aten,pytorch
41,aten::floor_divide,aten,at::native::vectorized_elementwise_kernel,torch_aten,pytorch
42,aten::gather,aten,at::native::vectorized_gather_kernel,torch_aten,pytorch
43,aten::gt,aten,at::native::vectorized_elementwise_kernel,torch_aten,pytorch
44,aten::index,aten,at::native::index_elementwise_kernel,torch_aten,pytorch
44,aten::index,aten,at::native::vectorized_gather_kernel,torch_aten,pytorch
45,aten::index_select,aten,at::native::<anonymous>::indexSelectSmallIndex,torch_aten,pytorch
46,aten::masked_fill_,aten,at::native::elementwise_kernel,torch_aten,pytorch
47,aten::mm,aten,cublasLt::splitKreduce_kernel,torch_aten,pytorch
47,aten::mm,aten,nvjet_sm90_tst_128x32_64x10_2x1_v_bz_TNT,torch_aten,pytorch
47,aten::mm,aten,nvjet_sm90_tst_128x8_64x12_2x1_v_bz_TNT,torch_aten,pytorch
47,aten::mm,aten,nvjet_sm90_tst_128x8_64x12_4x1_v_bz_TNT,torch_aten,pytorch
47,aten::mm,aten,nvjet_sm90_tst_192x16_64x8_4x2_h_bz_TNT,torch_aten,pytorch
47,aten::mm,aten,nvjet_sm90_tst_256x32_64x5_4x1_v_bz_splitK_TNT,torch_aten,pytorch
47,aten::mm,aten,nvjet_sm90_tst_256x8_64x6_4x1_v_bz_splitK_TNT,torch_aten,pytorch
47,aten::mm,aten,nvjet_sm90_tst_64x32_64x16_2x1_v_bz_TNT,torch_aten,pytorch
47,aten::mm,aten,nvjet_sm90_tst_64x32_64x16_4x1_v_bz_TNT,torch_aten,pytorch
47,aten::mm,aten,nvjet_sm90_tst_64x8_64x16_1x1_h_bz_splitK_TNT,torch_aten,pytorch
47,aten::mm,aten,nvjet_sm90_tst_64x8_64x16_2x1_v_bz_TNT,torch_aten,pytorch
47,aten::mm,aten,nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT,torch_aten,pytorch
47,aten::mm,aten,nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT,torch_aten,pytorch
47,aten::mm,aten,nvjet_sm90_tst_8x64_64x16_4x1_v_bz_splitK_TNN,torch_aten,pytorch
48,aten::mul,aten,at::native::vectorized_elementwise_kernel,torch_aten,pytorch
49,aten::neg,aten,at::native::vectorized_elementwise_kernel,torch_aten,pytorch
50,aten::sigmoid,aten,at::native::vectorized_elementwise_kernel,torch_aten,pytorch
51,aten::sub,aten,at::native::vectorized_elementwise_kernel,torch_aten,pytorch
52,triton_poi_fused___or___add_bitwise_and_bitwise_not_ge_lt_mul_sub_0,torch_compile,triton_poi_fused___or___add_bitwise_and_bitwise_not_ge_lt_mul_sub_0,torch_fused,torchinductor
