operator_name,kernel_name,variant_index,mapping_status,input_shapes,input_dtypes,candidate_operators,kernel_event_count,kernel_time_us,operator_kind,source_category,source_library,execution_origin,kernel_time_percent,kernel_time_percent_of_category
aten::mm,cublasLt::splitKreduce_kernel,1,operator_shape_matched,"[[2,4352],[4352,5120]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1024,1824.025,aten,torch_aten,pytorch,eager,1.426868,1.839919
aten::mm,cublasLt::splitKreduce_kernel,2,operator_shape_matched,"[[2,5120],[5120,24]]","[""c10::BFloat16"",""c10::BFloat16""]",null,768,1055.054,aten,torch_aten,pytorch,eager,0.82533,1.064247
aten::mm,cublasLt::splitKreduce_kernel,3,operator_shape_matched,"[[32,4352],[4352,5120]]","[""c10::BFloat16"",""c10::BFloat16""]",null,256,742.013,aten,torch_aten,pytorch,eager,0.58045,0.748479
aten::mm,cublasLt::splitKreduce_kernel,4,operator_shape_matched,"[[32,5120],[5120,24]]","[""c10::BFloat16"",""c10::BFloat16""]",null,192,279.94,aten,torch_aten,pytorch,eager,0.218987,0.282379
aten::mm,cublasLt::splitKreduce_kernel,5,operator_shape_matched,"[[2,5120],[5120,62080]]","[""c10::BFloat16"",""c10::BFloat16""]",null,20,127.167,aten,torch_aten,pytorch,eager,0.099478,0.128275
sglang.srt.layers.attention.fla.fused_recurrent.fused_recurrent_gated_delta_rule_packed_decode_kernel,fused_recurrent_gated_delta_rule_packed_decode_kernel,1,native_marker_operator_shape_matched,"[[2,2560],[2,12],[2,12],[12],[12],[2,1,12,128],[3,12,128,128],[3,12,128,128],[2],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]]","[""torch.bfloat16"",""torch.bfloat16"",""torch.bfloat16"",""torch.float32"",""torch.bfloat16"",""torch.bfloat16"",""torch.float32"",""torch.float32"",""torch.int32"",""Scalar[float]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[float]"",""Scalar[bool]"",""Scalar[int]"",""Scalar[int]""]",null,768,3926.625,custom,vendor,cuda,eager,3.071656,18.648228
aten::mm,nvjet_sm90_tst_64x8_64x16_1x1_h_bz_splitK_TNT,1,operator_shape_matched,"[[2,5120],[5120,24]]","[""c10::BFloat16"",""c10::BFloat16""]",null,768,3614.638,aten,torch_aten,pytorch,eager,2.8276,3.646135
aten::mm,nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT,1,operator_shape_matched,"[[2,5120],[5120,3584]]","[""c10::BFloat16"",""c10::BFloat16""]",null,256,3035.899,aten,torch_aten,pytorch,eager,2.374873,3.062353
aten::mm,nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT,1,operator_shape_matched,"[[2,5120],[5120,62080]]","[""c10::BFloat16"",""c10::BFloat16""]",null,20,2972.674,aten,torch_aten,pytorch,eager,2.325415,2.998577
aten::mm,nvjet_sm90_tst_64x32_64x16_2x1_v_bz_TNT,1,operator_shape_matched,"[[32,5120],[5120,4096]]","[""c10::BFloat16"",""c10::BFloat16""]",null,192,2959.837,aten,torch_aten,pytorch,eager,2.315373,2.985628
aten::mm,nvjet_sm90_tst_192x16_64x8_4x2_h_bz_TNT,1,operator_shape_matched,"[[32,1536],[1536,5120]]","[""c10::BFloat16"",""c10::BFloat16""]",null,256,2261.481,aten,torch_aten,pytorch,eager,1.769074,2.281187
sgl_kernel::silu_and_mul,flashinfer::activation::act_and_mul_kernel,1,operator_shape_matched,"[[2,4352],[2,8704]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1024,1550.181,custom,vendor,cuda,eager,1.21265,7.36208
sgl_kernel::silu_and_mul,flashinfer::activation::act_and_mul_kernel,2,operator_shape_matched,"[[32,4352],[32,8704]]","[""c10::BFloat16"",""c10::BFloat16""]",null,256,413.661,custom,vendor,cuda,eager,0.323592,1.964548
sglang.srt.layers.attention.mamba.causal_conv1d_triton._causal_conv1d_update_kernel,_causal_conv1d_update_kernel,1,native_marker_operator_shape_matched,"[[2,2560,1],[2560,4],[],[3,2560,3],[],[2],[],[2,2560,1],[],[],[],[],[2,2560,1],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]]","[""torch.bfloat16"",""torch.bfloat16"",""None"",""torch.bfloat16"",""None"",""torch.int32"",""None"",""torch.bfloat16"",""None"",""None"",""None"",""None"",""torch.bfloat16"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[bool]"",""Scalar[int]"",""Scalar[bool]"",""Scalar[bool]"",""Scalar[bool]"",""Scalar[int]"",""Scalar[int]"",""Scalar[bool]"",""Scalar[int]"",""Scalar[bool]"",""Scalar[bool]""]",null,768,1853.858,custom,third_party,sglang,eager,1.450206,24.317621
aten::cat,at::native::<anonymous>::CatArrayBatchedCopy,1,operator_shape_matched,"[[[2,512],[2,512],[2,1536]],[]]","[""TensorList"",""Scalar""]",null,768,1327.68,aten,torch_aten,pytorch,eager,1.038596,1.339249
aten::cat,at::native::<anonymous>::CatArrayBatchedCopy,2,operator_shape_matched,"[[[32,512],[32,512],[32,1536]],[]]","[""TensorList"",""Scalar""]",null,192,438.984,aten,torch_aten,pytorch,eager,0.343401,0.442809
aten::cat,at::native::<anonymous>::CatArrayBatchedCopy,3,operator_shape_matched,"[[[0],[1]],[]]","[""TensorList"",""Scalar""]",null,4,5.248,aten,torch_aten,pytorch,eager,0.004105,0.005294
aten::sigmoid,at::native::vectorized_elementwise_kernel,1,operator_shape_matched,"[[2,1536]]","[""c10::BFloat16""]",null,256,385.348,aten,torch_aten,pytorch,eager,0.301444,0.388706
aten::mul,at::native::vectorized_elementwise_kernel,2,operator_shape_matched,"[[2,1536],[2,1536]]","[""c10::BFloat16"",""c10::BFloat16""]",null,256,253.856,aten,torch_aten,pytorch,eager,0.198582,0.256068
aten::gt,at::native::vectorized_elementwise_kernel,3,operator_shape_matched,"[[2],[]]","[""int"",""Scalar""]",null,192,236.734,aten,torch_aten,pytorch,eager,0.185188,0.238797
aten::fill_,at::native::vectorized_elementwise_kernel,4,operator_shape_matched,"[[1,32,12,64],[]]","[""c10::BFloat16"",""Scalar""]",null,192,145.957,custom,vendor,cuda,eager,0.114177,0.693175
aten::fill_,at::native::vectorized_elementwise_kernel,5,operator_shape_matched,"[[1,32,12,128],[]]","[""c10::BFloat16"",""Scalar""]",null,192,144.926,custom,vendor,cuda,eager,0.11337,0.688279
aten::sigmoid,at::native::vectorized_elementwise_kernel,6,operator_shape_matched,"[[32,1536]]","[""c10::BFloat16""]",null,64,98.621,aten,torch_aten,pytorch,eager,0.077148,0.09948
aten::mul,at::native::vectorized_elementwise_kernel,7,operator_shape_matched,"[[32,1536],[32,1536]]","[""c10::BFloat16"",""c10::BFloat16""]",null,64,67.615,aten,torch_aten,pytorch,eager,0.052893,0.068204
aten::neg,at::native::vectorized_elementwise_kernel,8,operator_shape_matched,[[2]],"[""long int""]",null,20,24.191,aten,torch_aten,pytorch,eager,0.018924,0.024402
aten::mul,at::native::vectorized_elementwise_kernel,9,operator_shape_matched,"[[2,1],[]]","[""long int"",""long int""]",null,16,19.614,aten,torch_aten,pytorch,eager,0.015343,0.019785
aten::add,at::native::vectorized_elementwise_kernel,10,operator_shape_matched,"[[2],[],[]]","[""int"",""long int"",""Scalar""]",null,16,18.624,aten,torch_aten,pytorch,eager,0.014569,0.018786
aten::add,at::native::vectorized_elementwise_kernel,11,operator_shape_matched,"[[2],[],[]]","[""long int"",""long int"",""Scalar""]",null,16,16.256,aten,torch_aten,pytorch,eager,0.012716,0.016398
aten::floor_divide,at::native::vectorized_elementwise_kernel,12,operator_shape_matched,"[[2],[]]","[""int"",""long int""]",null,12,15.873,custom,vendor,cuda,eager,0.012417,0.075384
aten::sub,at::native::vectorized_elementwise_kernel,13,operator_shape_matched,"[[2],[],[]]","[""int"",""long int"",""Scalar""]",null,12,12.512,custom,vendor,cuda,eager,0.009788,0.059422
aten::add,at::native::vectorized_elementwise_kernel,14,operator_shape_matched,"[[2],[],[]]","[""int"",""long int"",""Scalar""]",null,12,12.258,custom,vendor,cuda,eager,0.009589,0.058215
aten::sub,at::native::vectorized_elementwise_kernel,15,operator_shape_matched,"[[2],[],[]]","[""long int"",""long int"",""Scalar""]",null,8,9.791,aten,torch_aten,pytorch,eager,0.007659,0.009876
aten::fill_,at::native::vectorized_elementwise_kernel,16,operator_shape_matched,"[[1],[]]","[""float"",""Scalar""]",null,8,6.305,aten,torch_aten,pytorch,eager,0.004932,0.00636
aten::fill_,at::native::vectorized_elementwise_kernel,17,operator_shape_matched,"[[1],[]]","[""c10::BFloat16"",""Scalar""]",null,8,6.271,aten,torch_aten,pytorch,eager,0.004906,0.006326
aten::floor_divide,at::native::vectorized_elementwise_kernel,18,operator_shape_matched,"[[40],[]]","[""int"",""long int""]",null,4,5.344,aten,torch_aten,pytorch,eager,0.00418,0.005391
aten::mul,at::native::vectorized_elementwise_kernel,19,operator_shape_matched,"[[32,1],[]]","[""long int"",""long int""]",null,4,4.895,aten,torch_aten,pytorch,eager,0.003829,0.004938
LayerNormFn,_layer_norm_fwd_1pass_kernel,1,operator_shape_matched,"[[24,128],[128],[],[24,128],[],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"","""",""c10::BFloat16"",""Scalar"","""",""Scalar"",""Scalar""]",null,768,1105.371,custom,third_party,upstream_unknown,eager,0.864692,14.499489
LayerNormFn,_layer_norm_fwd_1pass_kernel,2,operator_shape_matched,"[[384,128],[128],[],[384,128],[],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"","""",""c10::BFloat16"",""Scalar"","""",""Scalar"",""Scalar""]",null,192,359.97,custom,third_party,upstream_unknown,eager,0.281591,4.721836
ChunkGatedDeltaRuleFunction,chunk_gated_delta_rule_fwd_kkt_solve_kernel,1,operator_shape_matched,"[[1,32,4,128],[1,32,4,128],[1,32,12,128],[1,32,12],[1,32,12],[],[3,12,128,128],[2],[3],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""float"",""float"",""Scalar"",""float"",""int"",""int"",""Scalar""]",null,192,1391.329,custom,vendor,cuda,eager,1.088386,6.607665
sglang.srt.layers.attention.triton_ops.extend_attention._fwd_kernel,_fwd_kernel,1,native_marker_operator_shape_matched,"[[32,6,256],[32,1,256],[32,1,256],[32,6,256],[6388717,1,256],[6388717,1,256],[3],[3],[0],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]]","[""torch.bfloat16"",""torch.bfloat16"",""torch.bfloat16"",""torch.bfloat16"",""torch.bfloat16"",""torch.bfloat16"",""torch.int64"",""torch.int32"",""torch.int64"",""None"",""None"",""None"",""None"",""Scalar[float]"",""Scalar[float]"",""Scalar[float]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[float]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[bool]"",""Scalar[bool]"",""Scalar[bool]"",""Scalar[bool]"",""Scalar[bool]"",""Scalar[int]"",""Scalar[int]""]",null,64,1224.416,custom,third_party,sglang,eager,0.957816,16.061038
ChunkGatedDeltaRuleFunction,chunk_gated_delta_rule_fwd_kernel_h_blockdim64,1,operator_shape_matched,"[[1,32,4,128],[1,32,4,128],[1,32,12,128],[1,32,12],[1,32,12],[],[3,12,128,128],[2],[3],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""float"",""float"",""Scalar"",""float"",""int"",""int"",""Scalar""]",null,192,1168.924,custom,vendor,cuda,eager,0.914407,5.551424
sglang.srt.layers.attention.triton_ops.decode_attention._fwd_grouped_kernel_stage1,_fwd_grouped_kernel_stage1,1,native_marker_operator_shape_matched,"[[2,6,256],[6388717,1,256],[6388717,1,256],[],[3],[38],[2,6,8,256],[2,6,8],[2],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]]","[""torch.bfloat16"",""torch.bfloat16"",""torch.bfloat16"",""Scalar[float]"",""torch.int32"",""torch.int64"",""torch.float32"",""torch.float32"",""torch.int32"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[float]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]""]",null,64,273.056,custom,third_party,sglang,eager,0.213602,3.581759
sglang.srt.layers.attention.triton_ops.decode_attention._fwd_grouped_kernel_stage1,_fwd_grouped_kernel_stage1,2,native_marker_operator_shape_matched,"[[2,6,256],[6388717,1,256],[6388717,1,256],[],[3],[40],[2,6,8,256],[2,6,8],[2],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]]","[""torch.bfloat16"",""torch.bfloat16"",""torch.bfloat16"",""Scalar[float]"",""torch.int32"",""torch.int64"",""torch.float32"",""torch.float32"",""torch.int32"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[float]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]""]",null,64,273.056,custom,third_party,sglang,eager,0.213602,3.581759
sglang.srt.layers.attention.triton_ops.decode_attention._fwd_grouped_kernel_stage1,_fwd_grouped_kernel_stage1,3,native_marker_operator_shape_matched,"[[2,6,256],[6388717,1,256],[6388717,1,256],[],[3],[34],[2,6,8,256],[2,6,8],[2],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]]","[""torch.bfloat16"",""torch.bfloat16"",""torch.bfloat16"",""Scalar[float]"",""torch.int32"",""torch.int64"",""torch.float32"",""torch.float32"",""torch.int32"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[float]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]""]",null,64,271.78,custom,third_party,sglang,eager,0.212604,3.565021
sglang.srt.layers.attention.triton_ops.decode_attention._fwd_grouped_kernel_stage1,_fwd_grouped_kernel_stage1,4,native_marker_operator_shape_matched,"[[2,6,256],[6388717,1,256],[6388717,1,256],[],[3],[36],[2,6,8,256],[2,6,8],[2],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]]","[""torch.bfloat16"",""torch.bfloat16"",""torch.bfloat16"",""Scalar[float]"",""torch.int32"",""torch.int64"",""torch.float32"",""torch.float32"",""torch.int32"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[float]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]""]",null,64,270.046,custom,third_party,sglang,eager,0.211247,3.542276
aten::mm,nvjet_sm90_tst_64x32_64x16_4x1_v_bz_TNT,1,operator_shape_matched,"[[32,5120],[5120,3584]]","[""c10::BFloat16"",""c10::BFloat16""]",null,64,960.192,aten,torch_aten,pytorch,eager,0.751123,0.968559
aten::mm,nvjet_sm90_tst_8x64_64x16_4x1_v_bz_splitK_TNN,1,operator_shape_matched,"[[32,5120],[5120,24]]","[""c10::BFloat16"",""c10::BFloat16""]",null,192,909.216,aten,torch_aten,pytorch,eager,0.711247,0.917139
ChunkGatedDeltaRuleFunction,recompute_w_u_fwd_kernel,1,operator_shape_matched,"[[1,32,4,128],[1,32,4,128],[1,32,12,128],[1,32,12],[1,32,12],[],[3,12,128,128],[2],[3],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""float"",""float"",""Scalar"",""float"",""int"",""int"",""Scalar""]",null,192,859.908,custom,vendor,cuda,eager,0.672675,4.083853
sglang.srt.layers.attention.mamba.causal_conv1d_triton._causal_conv1d_fwd_kernel,_causal_conv1d_fwd_kernel,1,native_marker_operator_shape_matched,"[[2560,32],[2560,4],[],[3,2560,3],[2],[2],[3],[2560,32],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]]","[""torch.bfloat16"",""torch.bfloat16"",""None"",""torch.bfloat16"",""torch.int32"",""torch.bool"",""torch.int32"",""torch.bfloat16"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[bool]"",""Scalar[int]"",""Scalar[bool]"",""Scalar[bool]"",""Scalar[bool]"",""Scalar[bool]"",""Scalar[bool]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]"",""Scalar[int]""]",null,192,855.967,custom,third_party,sglang,eager,0.669592,11.22798
gemma_rms_norm,kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel,1,native_marker_operator_shape_matched,"[[],[12,256],[]]","[""Object[sglang.srt.layers.layernorm.GemmaRMSNorm]"",""torch.bfloat16"",""None""]",null,256,311.357,custom,vendor,cuda,eager,0.243563,1.478689
gemma_rms_norm,kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel,2,native_marker_operator_shape_matched,"[[],[2,256],[]]","[""Object[sglang.srt.layers.layernorm.GemmaRMSNorm]"",""torch.bfloat16"",""None""]",null,256,298.309,custom,vendor,cuda,eager,0.233356,1.416722
gemma_rms_norm,kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel,3,native_marker_operator_shape_matched,"[[],[192,256],[]]","[""Object[sglang.srt.layers.layernorm.GemmaRMSNorm]"",""torch.bfloat16"",""None""]",null,64,83.613,custom,vendor,cuda,eager,0.065407,0.397093
gemma_rms_norm,kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel,4,native_marker_operator_shape_matched,"[[],[32,256],[]]","[""Object[sglang.srt.layers.layernorm.GemmaRMSNorm]"",""torch.bfloat16"",""None""]",null,64,74.944,custom,vendor,cuda,eager,0.058626,0.355922
gemma_rms_norm,kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel,5,native_marker_operator_shape_matched,"[[],[2,5120],[]]","[""Object[sglang.srt.layers.layernorm.GemmaRMSNorm]"",""torch.bfloat16"",""None""]",null,16,36.257,custom,vendor,cuda,eager,0.028363,0.172191
gemma_rms_norm,kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel,6,native_marker_operator_shape_matched,"[[],[32,5120],[]]","[""Object[sglang.srt.layers.layernorm.GemmaRMSNorm]"",""torch.bfloat16"",""None""]",null,4,10.272,custom,vendor,cuda,eager,0.008035,0.048784
ChunkGatedDeltaRuleFunction,chunk_fwd_kernel_o,1,operator_shape_matched,"[[1,32,4,128],[1,32,4,128],[1,32,12,128],[1,32,12],[1,32,12],[],[3,12,128,128],[2],[3],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""float"",""float"",""Scalar"",""float"",""int"",""int"",""Scalar""]",null,192,635.174,custom,vendor,cuda,eager,0.496874,3.016552
aten::_index_put_impl_,at::native::index_elementwise_kernel,1,operator_shape_matched,"[[48,3,12,128,128],[],[48,1,12,128,128],[],[]]","[""float"","""",""float"",""Scalar"",""Scalar""]",null,8,471.134,aten,torch_aten,pytorch,eager,0.368551,0.475239
aten::index,at::native::index_elementwise_kernel,2,operator_shape_matched,"[[3],[]]","[""int"",""""]",null,20,35.488,aten,torch_aten,pytorch,eager,0.027761,0.035797
aten::_index_put_impl_,at::native::index_elementwise_kernel,3,operator_shape_matched,"[[48,3,2560,3],[],[48,1,2560,3],[],[]]","[""c10::BFloat16"","""",""c10::BFloat16"",""Scalar"",""Scalar""]",null,8,33.087,aten,torch_aten,pytorch,eager,0.025883,0.033375
aten::_index_put_impl_,at::native::index_elementwise_kernel,4,operator_shape_matched,"[[3,262148],[],[2],[],[]]","[""int"","""",""int"",""Scalar"",""Scalar""]",null,16,30.143,aten,torch_aten,pytorch,eager,0.02358,0.030406
